SD,SGG,Last Name,Population
서울특별시,종로구,가(賈),15
서울특별시,종로구,간(簡),12
서울특별시,종로구,갈(葛),6
서울특별시,종로구,감(甘),10
서울특별시,종로구,강(姜),3286
서울특별시,종로구,강(康),292
서울특별시,종로구,견(甄),0
서울특별시,종로구,경(慶),47
서울특별시,종로구,경(景),26
서울특별시,종로구,계(桂),21
서울특별시,종로구,고(高),1440
서울특별시,종로구,공(孔),267
서울특별시,종로구,곽(郭),557
서울특별시,종로구,구(丘),39
서울특별시,종로구,구(具),540
서울특별시,종로구,국(鞠),81
서울특별시,종로구,권(權),1846
서울특별시,종로구,금(琴),70
서울특별시,종로구,기(奇),75
서울특별시,종로구,기타,668
서울특별시,종로구,길(吉),141
서울특별시,종로구,김(金),30750
서울특별시,종로구,나(羅),601
서울특별시,종로구,남(南),764
서울특별시,종로구,남궁(南宮),69
서울특별시,종로구,노(盧),777
서울특별시,종로구,노(魯),160
서울특별시,종로구,단(段),6
서울특별시,종로구,당(唐),0
서울특별시,종로구,도(都),172
서울특별시,종로구,도(陶),0
서울특별시,종로구,동(董),18
서울특별시,종로구,두(杜),21
서울특별시,종로구,라(羅),97
서울특별시,종로구,류(柳),393
서울특별시,종로구,마(馬),147
서울특별시,종로구,맹(孟),77
서울특별시,종로구,명(明),84
서울특별시,종로구,모(牟),64
서울특별시,종로구,목(睦),16
서울특별시,종로구,문(文),1343
서울특별시,종로구,민(閔),580
서울특별시,종로구,박(朴),11913
서울특별시,종로구,반(潘),57
서울특별시,종로구,방(房),126
서울특별시,종로구,방(方),247
서울특별시,종로구,배(裵),1027
서울특별시,종로구,백(白),1063
서울특별시,종로구,범(范),12
서울특별시,종로구,변(卞),205
서울특별시,종로구,변(邊),237
서울특별시,종로구,복(卜),23
서울특별시,종로구,봉(奉),31
서울특별시,종로구,부(夫),24
서울특별시,종로구,빈(賓),14
서울특별시,종로구,사(史),29
서울특별시,종로구,사공(司空),5
서울특별시,종로구,상(尙),8
서울특별시,종로구,서(徐),2126
서울특별시,종로구,서문(西門),0
서울특별시,종로구,석(昔),20
서울특별시,종로구,석(石),129
서울특별시,종로구,선(宣),147
서울특별시,종로구,선우(鮮于),22
서울특별시,종로구,설(?),15
서울특별시,종로구,설(薛),127
서울특별시,종로구,성(成),584
서울특별시,종로구,소(蘇),173
서울특별시,종로구,소(邵),0
서울특별시,종로구,손(孫),1233
서울특별시,종로구,송(宋),2098
서울특별시,종로구,승(承),11
서울특별시,종로구,시(施),0
서울특별시,종로구,시(柴),0
서울특별시,종로구,신(愼),158
서울특별시,종로구,신(申),2291
서울특별시,종로구,신(辛),545
서울특별시,종로구,심(沈),831
서울특별시,종로구,안(安),2071
서울특별시,종로구,양(梁),1371
서울특별시,종로구,양(楊),212
서울특별시,종로구,어(魚),49
서울특별시,종로구,엄(嚴),383
서울특별시,종로구,여(余),53
서울특별시,종로구,여(呂),162
서울특별시,종로구,연(延),75
서울특별시,종로구,염(廉),227
서울특별시,종로구,예(芮),39
서울특별시,종로구,오(吳),2289
서울특별시,종로구,옥(玉),68
서울특별시,종로구,온(溫),27
서울특별시,종로구,왕(王),81
서울특별시,종로구,용(龍),54
서울특별시,종로구,우(禹),556
서울특별시,종로구,원(元),369
서울특별시,종로구,위(魏),128
서울특별시,종로구,유(兪),524
서울특별시,종로구,유(劉),872
서울특별시,종로구,유(庾),53
서울특별시,종로구,유(柳),1660
서울특별시,종로구,육(陸),63
서울특별시,종로구,윤(尹),2941
서울특별시,종로구,은(殷),53
서울특별시,종로구,음(陰),23
서울특별시,종로구,이(李),22276
서울특별시,종로구,인(印),54
서울특별시,종로구,임(任),679
서울특별시,종로구,임(林),2514
서울특별시,종로구,장(張),2973
서울특별시,종로구,장(章),13
서울특별시,종로구,장(蔣),48
서울특별시,종로구,전(全),1557
서울특별시,종로구,전(田),539
서울특별시,종로구,전(錢),15
서울특별시,종로구,정(丁),855
서울특별시,종로구,정(程),31
서울특별시,종로구,정(鄭),6166
서울특별시,종로구,제(諸),33
서울특별시,종로구,제갈(諸葛),15
서울특별시,종로구,조(曺),1176
서울특별시,종로구,조(趙),3232
서울특별시,종로구,좌(左),0
서울특별시,종로구,주(周),102
서울특별시,종로구,주(朱),617
서울특별시,종로구,지(智),20
서울특별시,종로구,지(池),459
서울특별시,종로구,진(晋),20
서울특별시,종로구,진(秦),55
서울특별시,종로구,진(陣),0
서울특별시,종로구,진(陳),470
서울특별시,종로구,차(車),591
서울특별시,종로구,채(蔡),415
서울특별시,종로구,천(千),335
서울특별시,종로구,최(催),29
서울특별시,종로구,최(崔),6662
서울특별시,종로구,추(秋),149
서울특별시,종로구,탁(卓),54
서울특별시,종로구,태(太),26
서울특별시,종로구,팽(彭),5
서울특별시,종로구,편(片),41
서울특별시,종로구,표(表),76
서울특별시,종로구,피(皮),15
서울특별시,종로구,하(夏),6
서울특별시,종로구,하(河),596
서울특별시,종로구,한(韓),2371
서울특별시,종로구,함(咸),209
서울특별시,종로구,허(許),897
서울특별시,종로구,현(玄),290
서울특별시,종로구,형(邢),16
서울특별시,종로구,호(扈),15
서울특별시,종로구,호(胡),0
서울특별시,종로구,홍(洪),1951
서울특별시,종로구,황(黃),1921
서울특별시,종로구,황보(皇甫),18
서울특별시,중구,가(賈),29
서울특별시,중구,간(簡),5
서울특별시,중구,갈(葛),6
서울특별시,중구,감(甘),10
서울특별시,중구,강(姜),2591
서울특별시,중구,강(康),194
서울특별시,중구,견(甄),0
서울특별시,중구,경(慶),61
서울특별시,중구,경(景),19
서울특별시,중구,계(桂),12
서울특별시,중구,고(高),1180
서울특별시,중구,공(孔),201
서울특별시,중구,곽(郭),484
서울특별시,중구,구(丘),36
서울특별시,중구,구(具),446
서울특별시,중구,국(鞠),46
서울특별시,중구,권(權),1416
서울특별시,중구,금(琴),53
서울특별시,중구,기(奇),75
서울특별시,중구,기타,637
서울특별시,중구,길(吉),93
서울특별시,중구,김(金),25039
서울특별시,중구,나(羅),394
서울특별시,중구,남(南),614
서울특별시,중구,남궁(南宮),76
서울특별시,중구,노(盧),615
서울특별시,중구,노(魯),158
서울특별시,중구,단(段),7
서울특별시,중구,당(唐),0
서울특별시,중구,도(都),147
서울특별시,중구,도(陶),0
서울특별시,중구,동(董),12
서울특별시,중구,두(杜),18
서울특별시,중구,라(羅),71
서울특별시,중구,류(柳),364
서울특별시,중구,마(馬),117
서울특별시,중구,맹(孟),53
서울특별시,중구,명(明),97
서울특별시,중구,모(牟),55
서울특별시,중구,목(睦),22
서울특별시,중구,문(文),1212
서울특별시,중구,민(閔),446
서울특별시,중구,박(朴),9601
서울특별시,중구,반(潘),53
서울특별시,중구,방(房),89
